epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,722.711,0.70833,0.363,0.88441,0.8736,0.90805,0.9124,0.5008,1.68962,0.66237,1.39923,0.0002378,0.0002378,0.0002378
180,726.674,0.70136,0.35525,0.87958,0.87224,0.89655,0.91138,0.50145,1.6851,0.66475,1.40531,0.0002279,0.0002279,0.0002279
181,730.728,0.69804,0.35768,0.87966,0.88357,0.89272,0.91909,0.5002,1.69457,0.66031,1.40979,0.000218,0.000218,0.000218
182,734.722,0.72022,0.36329,0.88679,0.88428,0.88123,0.91272,0.50277,1.68442,0.6572,1.4039,0.0002081,0.0002081,0.0002081
183,738.755,0.70687,0.35656,0.88483,0.88469,0.88191,0.91675,0.49826,1.68932,0.65748,1.40195,0.0001982,0.0001982,0.0001982
184,742.682,0.67932,0.35444,0.87024,0.876,0.89323,0.91629,0.50414,1.68556,0.65562,1.3988,0.0001883,0.0001883,0.0001883
185,746.794,0.67794,0.35026,0.86747,0.85909,0.91104,0.91836,0.50785,1.68929,0.65877,1.40522,0.0001784,0.0001784,0.0001784
186,750.883,0.68705,0.35638,0.87643,0.85918,0.91169,0.91426,0.50659,1.68448,0.65776,1.40802,0.0001685,0.0001685,0.0001685
187,755.022,0.68842,0.35281,0.87162,0.89474,0.87356,0.91503,0.5005,1.69344,0.66086,1.41453,0.0001586,0.0001586,0.0001586
188,758.997,0.68965,0.35276,0.87049,0.88006,0.87148,0.90661,0.50176,1.69258,0.65813,1.41907,0.0001487,0.0001487,0.0001487
189,763.084,0.67374,0.35053,0.87249,0.87997,0.88506,0.91296,0.49771,1.69774,0.65964,1.41769,0.0001388,0.0001388,0.0001388
190,767.215,0.6784,0.35111,0.8714,0.86803,0.88506,0.90946,0.50242,1.69478,0.65974,1.41618,0.0001289,0.0001289,0.0001289
191,802.868,0.65564,0.32865,0.86482,0.89453,0.87735,0.91284,0.50707,1.68934,0.65518,1.41863,0.000119,0.000119,0.000119
192,806.991,0.63128,0.32153,0.85337,0.88971,0.8654,0.90394,0.50676,1.67906,0.65255,1.42471,0.0001091,0.0001091,0.0001091
193,810.93,0.62843,0.31917,0.85232,0.88591,0.86207,0.90367,0.50419,1.67554,0.65395,1.42202,9.92e-05,9.92e-05,9.92e-05
194,814.784,0.62468,0.31685,0.85477,0.88882,0.88123,0.90767,0.50287,1.6811,0.65878,1.42181,8.93e-05,8.93e-05,8.93e-05
195,818.634,0.61792,0.31685,0.86137,0.88769,0.8782,0.90761,0.50073,1.68613,0.65874,1.42665,7.94e-05,7.94e-05,7.94e-05
196,822.505,0.62339,0.31702,0.85857,0.88036,0.87403,0.90584,0.50155,1.68463,0.65792,1.42408,6.95e-05,6.95e-05,6.95e-05
197,826.362,0.60927,0.31619,0.84852,0.87705,0.8746,0.90565,0.50382,1.68593,0.65592,1.42131,5.96e-05,5.96e-05,5.96e-05
198,830.22,0.60035,0.31072,0.84974,0.87657,0.86973,0.90369,0.50329,1.6831,0.65601,1.42303,4.97e-05,4.97e-05,4.97e-05
199,834.073,0.61663,0.31312,0.85593,0.8784,0.87356,0.90439,0.49956,1.68146,0.65786,1.42486,3.98e-05,3.98e-05,3.98e-05
200,837.944,0.59838,0.31047,0.84455,0.87355,0.86973,0.90551,0.50275,1.6815,0.65534,1.42337,2.99e-05,2.99e-05,2.99e-05
